BookID,Title,Author,Genre,PublicationYear,Publisher,Pages,Language,CopiesAvailable
B257,Book 257,Agatha Christie,Romance,2010,Random House,176,English,0
B258,Book 258,Brandon Sanderson,History,1998,HarperCollins,381,English,4
B259,Book 259,Sarah Mitchell,Science Fiction,1985,No Starch,560,English,2
B260,Book 260,Robert Martin,Programming,2019,Pearson,355,English,8
B261,Book 261,Isaac Asimov,Biography,1989,No Starch,163,English,6
B262,Book 262,Agatha Christie,Data Science,1989,O'Reilly,559,English,6
B263,Book 263,Mark Lee,Programming,2003,Penguin,534,English,0
B264,Book 264,Sarah Mitchell,Mystery,2024,No Starch,490,English,1
B265,Book 265,John Smith,Science Fiction,2000,No Starch,530,English,8
B266,Book 266,J.K. Rowling,Programming,2004,Pearson,467,English,3
B267,Book 267,Sarah Mitchell,Mystery,1989,Random House,236,English,8
B268,Book 268,Isaac Asimov,Romance,2007,O'Reilly,271,English,3
B269,Book 269,J.K. Rowling,Mystery,2001,HarperCollins,297,English,2
B270,Book 270,Alice Brown,Science Fiction,1996,Pearson,625,English,7
B271,Book 271,Alice Brown,Self Help,2022,No Starch,698,English,5
B272,Book 272,David Clark,Biography,1994,No Starch,189,English,7
B273,Book 273,Emily Stone,History,2002,Random House,177,English,5
B274,Book 274,Isaac Asimov,Science Fiction,2004,No Starch,582,English,0
B275,Book 275,Agatha Christie,Biography,2003,Penguin,212,English,8
B276,Book 276,John Smith,Data Science,2022,Random House,162,English,7
B277,Book 277,Maria Green,Self Help,1997,O'Reilly,607,English,8
B278,Book 278,Robert Martin,Fantasy,2013,Penguin,471,English,1
B279,Book 279,Isaac Asimov,Mystery,1987,HarperCollins,568,English,7
B280,Book 280,Isaac Asimov,Business,2024,HarperCollins,492,English,5
B281,Book 281,Maria Green,History,2009,No Starch,466,English,0
B282,Book 282,Alice Brown,Biography,1989,O'Reilly,216,English,8
B283,Book 283,George Orwell,Programming,2003,O'Reilly,273,English,5
B284,Book 284,J.K. Rowling,Self Help,1994,O'Reilly,437,English,6
B285,Book 285,Robert Martin,Self Help,1990,O'Reilly,692,English,6
B286,Book 286,George Orwell,Biography,1993,Pearson,659,English,1
B287,Book 287,George Orwell,Programming,2017,O'Reilly,138,English,5
B288,Book 288,Yuval Noah Harari,Mystery,1998,O'Reilly,617,English,3
B289,Book 289,Brandon Sanderson,Mystery,1994,Penguin,422,English,1
B290,Book 290,Isaac Asimov,Business,2018,Penguin,464,English,2
B291,Book 291,Jane Austen,Programming,1994,HarperCollins,305,English,2
B292,Book 292,Mark Lee,Data Science,1987,No Starch,493,English,3
B293,Book 293,Emily Stone,Self Help,2003,Pearson,579,English,3
B294,Book 294,Isaac Asimov,Romance,2004,No Starch,318,English,5
B295,Book 295,George Orwell,Self Help,2013,No Starch,408,English,6
B296,Book 296,Isaac Asimov,Business,2011,HarperCollins,324,English,2
B297,Book 297,David Clark,History,1988,Pearson,612,English,5
B298,Book 298,Isaac Asimov,Science Fiction,2018,Penguin,411,English,1
B299,Book 299,Alice Brown,Mystery,2002,No Starch,645,English,2
B300,Book 300,David Clark,Programming,1990,HarperCollins,581,English,5
B301,Book 301,Maria Green,Fantasy,2011,Penguin,525,English,8
B302,Book 302,Sarah Mitchell,Romance,2009,Penguin,503,English,3
B303,Book 303,Agatha Christie,Biography,1991,Pearson,463,English,2
B304,Book 304,Robert Martin,Fantasy,2003,No Starch,262,English,7
B305,Book 305,Emily Stone,Self Help,1985,Penguin,139,English,4
B306,Book 306,Brandon Sanderson,Mystery,2020,Pearson,660,English,6
B307,Book 307,J.K. Rowling,History,2000,O'Reilly,244,English,0
B308,Book 308,Brandon Sanderson,Programming,2025,Random House,588,English,1
B309,Book 309,J.K. Rowling,Data Science,2023,Random House,136,English,8
B310,Book 310,Jane Austen,Romance,1994,O'Reilly,559,English,0
B311,Book 311,Jane Austen,Biography,2000,Random House,546,English,2
B312,Book 312,George Orwell,Science Fiction,2018,O'Reilly,189,English,8
B313,Book 313,Isaac Asimov,Business,2017,Random House,140,English,6
B314,Book 314,David Clark,Data Science,1987,Pearson,516,English,5
B315,Book 315,Yuval Noah Harari,Fantasy,2007,Penguin,473,English,3
B316,Book 316,Mark Lee,Science Fiction,2022,Pearson,460,English,2
B317,Book 317,Agatha Christie,Biography,2019,O'Reilly,299,English,7
B318,Book 318,Mark Lee,Data Science,2025,HarperCollins,258,English,1
B319,Book 319,Mark Lee,Data Science,1987,O'Reilly,326,English,0
B320,Book 320,Alice Brown,Romance,1987,O'Reilly,437,English,8
B321,Book 321,John Smith,Business,2015,O'Reilly,157,English,3
B322,Book 322,Yuval Noah Harari,Biography,1988,Pearson,459,English,4
B323,Book 323,J.K. Rowling,Biography,2012,No Starch,570,English,6
B324,Book 324,Sarah Mitchell,Mystery,2016,Pearson,629,English,5
B325,Book 325,Maria Green,Business,2002,Penguin,554,English,1
B326,Book 326,John Smith,Self Help,1996,Random House,420,English,5
B327,Book 327,J.K. Rowling,Science Fiction,2005,Pearson,422,English,4
B328,Book 328,Emily Stone,Self Help,2012,HarperCollins,574,English,5
B329,Book 329,Emily Stone,Fantasy,2007,Random House,565,English,4
B330,Book 330,George Orwell,Fantasy,1989,Pearson,535,English,5
B331,Book 331,Isaac Asimov,Mystery,1986,HarperCollins,568,English,0
B332,Book 332,Robert Martin,Science Fiction,2000,Pearson,495,English,5
B333,Book 333,John Smith,Self Help,1987,Random House,277,English,7
B334,Book 334,Sarah Mitchell,Biography,2013,Penguin,260,English,8
B335,Book 335,Sarah Mitchell,Programming,2005,Pearson,405,English,3
B336,Book 336,J.K. Rowling,Fantasy,1996,No Starch,650,English,6
B337,Book 337,Maria Green,Business,1992,O'Reilly,386,English,7
B338,Book 338,Brandon Sanderson,Self Help,2003,Pearson,622,English,3
B339,Book 339,J.K. Rowling,Mystery,1989,No Starch,296,English,7
B340,Book 340,J.K. Rowling,Biography,2007,Pearson,186,English,8
B341,Book 341,Isaac Asimov,History,2004,HarperCollins,298,English,5
B342,Book 342,Isaac Asimov,Romance,1992,HarperCollins,262,English,3
B343,Book 343,Alice Brown,Data Science,1986,O'Reilly,687,English,5
B344,Book 344,Emily Stone,Business,1993,Random House,208,English,1
B345,Book 345,Yuval Noah Harari,Programming,2015,Random House,540,English,6
B346,Book 346,David Clark,Self Help,1989,HarperCollins,444,English,1
B347,Book 347,Emily Stone,Data Science,2018,O'Reilly,251,English,8
B348,Book 348,George Orwell,Self Help,1996,HarperCollins,563,English,8
B349,Book 349,Maria Green,Fantasy,1992,Random House,276,English,4
B350,Book 350,Robert Martin,Mystery,2005,Pearson,350,English,5
B351,Book 351,Isaac Asimov,History,1990,O'Reilly,321,English,8
B352,Book 352,Yuval Noah Harari,Mystery,2025,O'Reilly,666,English,1
B353,Book 353,Isaac Asimov,Mystery,2022,Random House,277,English,2
B354,Book 354,George Orwell,Self Help,2023,O'Reilly,697,English,0
B355,Book 355,David Clark,Fantasy,1990,Penguin,391,English,3
B356,Book 356,Alice Brown,Self Help,2011,Random House,151,English,7
B357,Book 357,Maria Green,Business,2003,Pearson,429,English,7
B358,Book 358,Brandon Sanderson,Programming,2004,No Starch,194,English,0
B359,Book 359,Robert Martin,Data Science,2011,No Starch,595,English,3
B360,Book 360,Sarah Mitchell,Self Help,1994,O'Reilly,446,English,5
B361,Book 361,John Smith,Mystery,2008,Random House,695,English,1
B362,Book 362,Sarah Mitchell,Romance,2014,Penguin,393,English,7
B363,Book 363,Brandon Sanderson,Mystery,1991,Penguin,417,English,6
B364,Book 364,David Clark,Self Help,2011,HarperCollins,283,English,5
B365,Book 365,Maria Green,Self Help,2005,HarperCollins,283,English,7
B366,Book 366,Isaac Asimov,Data Science,2016,O'Reilly,629,English,0
B367,Book 367,J.K. Rowling,Programming,2017,No Starch,366,English,3
B368,Book 368,Jane Austen,Biography,1988,Penguin,408,English,7
B369,Book 369,Jane Austen,Data Science,2003,Random House,128,English,1
B370,Book 370,John Smith,Mystery,2001,Pearson,494,English,6
B371,Book 371,Sarah Mitchell,Fantasy,2010,Penguin,695,English,3
B372,Book 372,Sarah Mitchell,Business,2003,Penguin,515,English,8
B373,Book 373,Emily Stone,Business,2002,Random House,241,English,2
B374,Book 374,J.K. Rowling,Programming,2008,O'Reilly,691,English,5
B375,Book 375,Alice Brown,Mystery,1997,Random House,641,English,6
B376,Book 376,Isaac Asimov,Fantasy,1987,Penguin,260,English,5
B377,Book 377,Alice Brown,Data Science,2018,No Starch,272,English,8
B378,Book 378,Robert Martin,Biography,2024,O'Reilly,286,English,6
B379,Book 379,Jane Austen,History,2022,O'Reilly,639,English,8
B380,Book 380,Isaac Asimov,Data Science,2021,O'Reilly,606,English,0
B381,Book 381,Sarah Mitchell,Biography,1992,No Starch,435,English,0
B382,Book 382,Jane Austen,Data Science,2001,Pearson,353,English,0
B383,Book 383,Jane Austen,Data Science,1995,Random House,509,English,2
B384,Book 384,David Clark,Romance,1987,Random House,232,English,3
B385,Book 385,Agatha Christie,Data Science,2005,No Starch,275,English,6
B386,Book 386,Mark Lee,Romance,2011,Random House,602,English,0
B387,Book 387,Mark Lee,Mystery,2018,HarperCollins,694,English,5
B388,Book 388,George Orwell,Data Science,2018,No Starch,441,English,2
B389,Book 389,Emily Stone,Business,2006,Random House,482,English,4
B390,Book 390,Jane Austen,Data Science,1997,HarperCollins,405,English,8
B391,Book 391,Yuval Noah Harari,Romance,2004,O'Reilly,332,English,7
B392,Book 392,Sarah Mitchell,Data Science,2007,Random House,400,English,4
B393,Book 393,J.K. Rowling,Self Help,2019,No Starch,524,English,5
B394,Book 394,Alice Brown,Mystery,2003,Penguin,414,English,1
B395,Book 395,Sarah Mitchell,Data Science,2001,Pearson,610,English,3
B396,Book 396,Brandon Sanderson,Business,2002,Random House,398,English,2
B397,Book 397,J.K. Rowling,Self Help,2022,HarperCollins,368,English,0
B398,Book 398,George Orwell,Business,1999,Pearson,358,English,0
B399,Book 399,J.K. Rowling,Programming,2006,Pearson,603,English,1
B400,Book 400,George Orwell,Mystery,1985,Random House,281,English,6
